model,scale,parameter,row_type,method,overall_status,primary_metric,expectation_strength,reason,observed_behavior
extension,small_scale,scale_maximum_walking_distance,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_maximum_walking_distance,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_node_size,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_node_size,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_node_size,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_node_size,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_budget_cmax,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_budget_cmax,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_budget_cmax,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_budget_cmax,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_cost_range,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_cost_range,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_cost_range,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_cost_range,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_spot_availability,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_spot_availability,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_spot_availability,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_parking_spot_availability,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_spots_per_lot,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_spots_per_lot,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_spots_per_lot,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_spots_per_lot,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_traffic_level,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_traffic_level,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_traffic_level,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_traffic_level,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,sumo,edge_density,method_level,ACO,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=10.347 end=10.065 reversals=1; overall tendency holds with local fluctuation
extension,sumo,edge_density,method_level,GA,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=13.1221 end=11.8334 reversals=2; overall tendency holds with local fluctuation
extension,sumo,edge_density,method_level,PSO,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=16.065 end=11.823 reversals=0
extension,sumo,maximum_walking_distance,method_level,ACO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=12.1152 end=12.6282 reversals=1; net contradiction likely due to search quality, max_step=0.513"
extension,sumo,maximum_walking_distance,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=16.9786 end=16.4745 reversals=1; overall tendency holds with local fluctuation
extension,sumo,maximum_walking_distance,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=16.1598 end=17.5916 reversals=2; net contradiction likely due to search quality, max_step=2.50637"
extension,sumo,parking_budget_cmax,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.5468 end=12.1152 reversals=0
extension,sumo,parking_budget_cmax,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=15.56 end=14.9722 reversals=1; overall tendency holds with local fluctuation
extension,sumo,parking_budget_cmax,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=17.057 end=16.7538 reversals=1; overall tendency holds with local fluctuation
extension,sumo,parking_cost_range,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.1152 end=13.4608 reversals=0
extension,sumo,parking_cost_range,method_level,GA,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=15.1426 end=16.9787 reversals=0
extension,sumo,parking_cost_range,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=17.2614 end=18.015 reversals=1; overall tendency holds with local fluctuation
extension,sumo,parking_spot_availability,method_level,ACO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=12.1152 end=12.2838 reversals=1; net contradiction likely due to search quality, max_step=0.1944"
extension,sumo,parking_spot_availability,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=15.1426 end=17.1812 reversals=2; net contradiction likely due to search quality, max_step=1.18527"
extension,sumo,parking_spot_availability,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=17.2614 end=18.1712 reversals=1; net contradiction likely due to search quality, max_step=2.74611"
extension,sumo,spots_per_lot,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.0006 end=12.0006 reversals=0
extension,sumo,spots_per_lot,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=16.9421 end=15.1753 reversals=1; overall tendency holds with local fluctuation
extension,sumo,spots_per_lot,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=14.4576 end=17.5474 reversals=1; net contradiction likely due to search quality, max_step=3.40303"
extension,sumo,traffic_level,method_level,ACO,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=10.347 end=8.901 reversals=1; feasible-set expectation broken by approximate search
extension,sumo,traffic_level,method_level,GA,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=13.1221 end=11.1314 reversals=1; feasible-set expectation broken by approximate search
extension,sumo,traffic_level,method_level,PSO,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=16.065 end=10.9405 reversals=1; feasible-set expectation broken by approximate search
